regional_indicator,embedding_x,embedding_y
Western Europe,-54.14129,-3.0013237
Western Europe,-1.9647645,45.62362
Western Europe,32.287556,-27.7376
Western Europe,20.390106,-5.759958
Western Europe,60.47507,-9.78492
Sub-Saharan Africa,1.1833805,-30.732197
Sub-Saharan Africa,-33.326733,-37.001667
Sub-Saharan Africa,32.05216,40.302723
Sub-Saharan Africa,-1.5785254,-61.01255
Sub-Saharan Africa,6.6043353,20.737404
Sub-Saharan Africa,-61.329353,-5.9857044
Sub-Saharan Africa,0.5546921,53.06738
Sub-Saharan Africa,30.09756,-35.616463
Sub-Saharan Africa,13.811211,-5.267307
Sub-Saharan Africa,5.9479036,52.368145
Sub-Saharan Africa,34.917107,-37.9624
Sub-Saharan Africa,9.737237,-7.1662965
Commonwealth of Independent States,36.93579,9.985564
Commonwealth of Independent States,-26.029692,-15.759068
Commonwealth of Independent States,-15.780487,13.151386
Commonwealth of Independent States,-24.13984,51.242214
Commonwealth of Independent States,-39.28533,23.049623
Commonwealth of Independent States,2.358988,-30.572529
Commonwealth of Independent States,-35.198067,-37.954384
Commonwealth of Independent States,31.260998,41.09546
Commonwealth of Independent States,-0.57315266,-62.021637
Commonwealth of Independent States,8.092031,20.605417
Commonwealth of Independent States,-61.127537,-3.8538797
Commonwealth of Independent States,2.5716963,51.626053
Commonwealth of Independent States,28.377392,-35.02731
Commonwealth of Independent States,13.535951,-3.3238683
Commonwealth of Independent States,65.975746,-6.300828
Western Europe,51.365124,15.04643
Western Europe,-21.435205,-10.743852
Western Europe,-17.656868,7.698739
Western Europe,-26.382942,42.660706
Western Europe,-48.167797,24.180202
Western Europe,-4.0333657,-23.004263
Western Europe,-26.306755,-43.14243
Western Europe,28.92058,32.184406
Western Europe,6.589072,-56.058777
Western Europe,0.43113866,12.354304
Western Europe,-51.593796,-2.5603983
Western Europe,-2.3117428,42.92497
Western Europe,32.887234,-26.347675
Western Europe,22.48856,-5.94103
Western Europe,59.604866,-11.070082
Sub-Saharan Africa,38.88926,6.4475026
