regional_indicator,embedding_x,embedding_y
Latin America and Caribbean,9.965535,5.221191
Latin America and Caribbean,5.139472,4.106474
Latin America and Caribbean,2.1184866,3.2498221
Latin America and Caribbean,4.6842966,0.83178663
Latin America and Caribbean,7.2886167,-0.9940863
Latin America and Caribbean,4.6645093,0.74703884
Latin America and Caribbean,-38.236546,-8.280042
Latin America and Caribbean,1.656201,2.5402625
Latin America and Caribbean,1.7696948,2.7553728
Latin America and Caribbean,2.0795367,3.2525635
Latin America and Caribbean,1.0872338,4.154249
Middle East and North Africa,13.668127,-25.260262
Middle East and North Africa,41.957664,-14.761784
Middle East and North Africa,8.006819,-62.178165
Middle East and North Africa,41.72981,-14.913983
Middle East and North Africa,41.290565,-15.13845
Middle East and North Africa,21.504698,-34.26556
Middle East and North Africa,19.142967,-37.88974
Middle East and North Africa,5.805141,-59.705036
Middle East and North Africa,39.090267,-18.094624
Middle East and North Africa,38.138863,-18.961365
Middle East and North Africa,38.28617,-19.377335
Middle East and North Africa,38.25057,-19.308516
Middle East and North Africa,38.49012,-17.244522
Middle East and North Africa,34.17525,-21.490206
Middle East and North Africa,33.98715,-21.38103
Latin America and Caribbean,9.690926,5.3540597
Latin America and Caribbean,-21.175934,-10.84624
Latin America and Caribbean,8.85103,5.9815497
Latin America and Caribbean,8.71789,6.1166673
Latin America and Caribbean,9.470892,5.0765557
Latin America and Caribbean,8.602637,5.587932
Latin America and Caribbean,8.574428,5.4565086
Latin America and Caribbean,8.580624,5.4432926
Latin America and Caribbean,5.6500874,4.6159835
Latin America and Caribbean,8.275076,5.4170747
Latin America and Caribbean,5.492483,5.0605354
Latin America and Caribbean,7.109571,5.044314
Latin America and Caribbean,2.1196759,4.4425845
Latin America and Caribbean,2.120148,4.455473
Latin America and Caribbean,1.7825035,5.106846
Central and Eastern Europe,24.543076,-26.448236
Central and Eastern Europe,24.51635,-25.860012
Central and Eastern Europe,24.69137,-26.154171
Central and Eastern Europe,23.660126,-26.079004
Central and Eastern Europe,24.935469,-25.269072
Central and Eastern Europe,24.488588,-25.331942
Central and Eastern Europe,24.515493,-24.079786
Central and Eastern Europe,27.089167,-22.472298
Central and Eastern Europe,13.687791,-11.134925
Central and Eastern Europe,12.652233,-10.791016
Central and Eastern Europe,-2.1918733,1.3854221
Central and Eastern Europe,-2.1825852,1.3829654
Central and Eastern Europe,-2.18739,1.3805834
Central and Eastern Europe,-3.1066623,-0.19715907
Sub-Saharan Africa,37.815975,29.287489
Sub-Saharan Africa,33.02412,38.83079
Sub-Saharan Africa,38.299534,20.130394
Sub-Saharan Africa,38.089783,17.481344
Sub-Saharan Africa,39.900417,14.835942
Sub-Saharan Africa,29.877977,32.118336
Sub-Saharan Africa,39.22556,12.23739
Sub-Saharan Africa,42.910934,-5.310439
Sub-Saharan Africa,34.658512,-11.483319
Western Europe,-32.21585,-19.640507
Western Europe,-45.81017,-9.965579
Western Europe,-18.9114,30.957243
Western Europe,-22.80708,28.475023
Western Europe,-23.048134,28.953403
Western Europe,-23.14913,28.89977
Western Europe,-23.071186,28.85411
Western Europe,-22.925718,28.484512
Western Europe,-22.86375,28.816948
Western Europe,-22.768017,28.764404
Western Europe,-21.250101,28.86706
Western Europe,-21.083847,28.740793
Western Europe,-22.999567,28.906487
Western Europe,-29.707659,30.60288
Western Europe,-27.663086,29.946056
Western Europe,-23.412619,31.167454
Western Europe,-25.841375,31.148325
Western Europe,-27.701593,29.892982
Western Europe,-23.70541,31.535362
Western Europe,-23.372019,32.96671
Western Europe,-23.368385,33.165325
Western Europe,-23.285027,33.66956
Western Europe,-23.451729,34.760296
Western Europe,-18.24075,44.29866
Western Europe,-18.202358,44.40919
Western Europe,-18.0895,44.58265
Western Europe,-17.870102,45.03181
Western Europe,-29.993616,31.239704
Sub-Saharan Africa,53.313023,15.761358
Sub-Saharan Africa,17.77347,56.22052
Sub-Saharan Africa,17.247267,49.752537
Sub-Saharan Africa,17.492182,49.40696
Sub-Saharan Africa,42.74917,8.866849
Sub-Saharan Africa,42.493267,-0.88844657
Sub-Saharan Africa,38.376404,-9.491061
Sub-Saharan Africa,26.67467,-29.961555
Sub-Saharan Africa,20.070423,-22.528635
Sub-Saharan Africa,38.55249,22.86708
Sub-Saharan Africa,43.904213,3.4651227
Sub-Saharan Africa,43.943085,3.4749267
Commonwealth of Independent States,40.27217,-16.056547
Commonwealth of Independent States,39.983387,-15.489609
Commonwealth of Independent States,40.33434,-15.909414
Commonwealth of Independent States,39.985306,-15.379046
Commonwealth of Independent States,39.987236,-15.364069
Commonwealth of Independent States,39.730373,-15.524798
Commonwealth of Independent States,39.242233,-16.167753
Commonwealth of Independent States,38.295887,-15.124632
Commonwealth of Independent States,37.702698,-15.359355
Commonwealth of Independent States,37.551662,-15.612635
Commonwealth of Independent States,28.286144,-27.629948
Commonwealth of Independent States,28.639393,-24.571589
Commonwealth of Independent States,28.814856,-24.146101
Commonwealth of Independent States,28.832628,-24.151363
Commonwealth of Independent States,29.453035,-25.094593
Western Europe,-44.608078,-10.920977
Western Europe,-21.444105,32.365036
Western Europe,-22.710648,31.957464
Western Europe,-22.743437,31.908195
Western Europe,-22.755877,32.052383
Western Europe,-3.459012,27.07864
Western Europe,-3.3076913,27.565289
Western Europe,-3.548317,28.428162
Western Europe,-3.677859,28.801142
Western Europe,-4.9211473,30.064314
Western Europe,-4.419186,28.897583
